id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
3599,33,blue-collar,married,secondary,no,43,yes,no,cellular,14,may,332,2,358,2,failure,0
3600,23,technician,single,secondary,no,283,yes,no,cellular,22,sep,175,1,184,2,success,1
3601,43,blue-collar,married,secondary,no,232,yes,no,telephone,8,may,128,8,324,7,other,0
3602,51,services,married,secondary,no,615,no,no,cellular,2,feb,1110,2,-1,0,unknown,0
3603,65,retired,married,tertiary,no,1973,no,no,telephone,21,apr,396,3,-1,0,unknown,1
3604,35,blue-collar,married,secondary,no,362,yes,no,unknown,12,may,363,2,-1,0,unknown,0
3605,35,services,married,secondary,no,0,yes,no,cellular,18,may,146,2,-1,0,unknown,0
3606,30,admin.,single,unknown,yes,1,no,no,unknown,9,may,307,1,-1,0,unknown,0
3607,40,housemaid,married,tertiary,no,0,no,no,unknown,6,oct,6,1,-1,0,unknown,0
3608,33,technician,married,tertiary,no,74,no,no,cellular,25,aug,116,4,-1,0,unknown,0
3609,40,technician,married,secondary,no,336,no,no,cellular,27,aug,156,6,-1,0,unknown,0
3610,34,blue-collar,married,primary,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,0
3611,39,entrepreneur,married,tertiary,no,2,yes,no,cellular,17,nov,180,1,-1,0,unknown,0
3612,52,housemaid,married,tertiary,no,43,no,no,cellular,30,jul,32,2,-1,0,unknown,0
3613,59,retired,married,secondary,no,-471,no,no,cellular,7,aug,86,6,-1,0,unknown,0
3614,31,technician,married,tertiary,no,6525,yes,no,cellular,24,jul,169,1,-1,0,unknown,0
3615,24,self-employed,single,unknown,no,1179,no,no,cellular,10,feb,122,1,-1,0,unknown,0
3616,35,technician,single,tertiary,no,2277,no,yes,cellular,11,aug,55,2,-1,0,unknown,0
3617,35,services,married,secondary,no,2918,no,yes,cellular,16,jul,815,2,407,3,success,1
3618,40,blue-collar,married,secondary,no,273,yes,no,unknown,19,jun,1082,1,-1,0,unknown,0
3619,36,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,1,-1,0,unknown,1
3620,53,blue-collar,married,primary,no,2135,no,no,cellular,4,feb,152,2,-1,0,unknown,0
3621,52,technician,married,secondary,no,3577,no,yes,cellular,8,aug,62,2,-1,0,unknown,0
3622,30,management,married,secondary,no,0,yes,no,cellular,12,may,756,3,-1,0,unknown,0
3623,40,retired,married,primary,no,407,yes,no,unknown,7,may,502,1,-1,0,unknown,0
3624,38,management,divorced,tertiary,no,10638,no,no,unknown,12,jun,159,2,-1,0,unknown,0
3625,31,management,single,tertiary,no,-446,no,no,cellular,19,aug,156,4,-1,0,unknown,0
3626,35,management,single,tertiary,no,0,no,no,cellular,26,aug,30,20,-1,0,unknown,0
3627,45,admin.,married,secondary,no,194,no,no,cellular,31,jul,517,4,-1,0,unknown,0
3628,37,blue-collar,single,primary,no,1210,no,no,unknown,4,jul,742,1,-1,0,unknown,0
3629,44,technician,single,tertiary,no,166,yes,no,unknown,13,may,267,3,-1,0,unknown,0
3630,51,unemployed,married,secondary,no,-267,no,yes,unknown,19,jun,208,2,-1,0,unknown,0
3631,49,blue-collar,married,secondary,no,298,yes,no,cellular,3,feb,392,3,-1,0,unknown,0
3632,36,management,divorced,tertiary,no,0,yes,no,cellular,20,nov,378,8,-1,0,unknown,0
3633,31,housemaid,married,secondary,no,592,no,yes,cellular,20,nov,124,1,-1,0,unknown,0
3634,29,technician,single,secondary,no,32,yes,yes,cellular,17,apr,514,1,-1,0,unknown,0
3635,45,management,single,tertiary,no,311,yes,yes,cellular,22,may,81,1,-1,0,unknown,0
3636,30,services,single,secondary,no,-172,yes,yes,cellular,17,apr,282,4,329,2,other,0
3637,57,retired,divorced,secondary,no,316,no,no,cellular,28,jan,935,2,-1,0,unknown,0
3638,36,blue-collar,divorced,secondary,no,313,yes,yes,cellular,17,apr,264,2,-1,0,unknown,0
3639,31,technician,single,secondary,no,2846,no,no,cellular,8,aug,174,3,-1,0,unknown,0
3640,40,blue-collar,married,secondary,no,280,yes,no,cellular,8,may,435,2,340,3,failure,0
3641,36,unemployed,single,tertiary,no,953,yes,no,cellular,22,may,169,1,94,2,other,0
3642,39,entrepreneur,single,unknown,no,879,yes,yes,cellular,2,feb,99,1,-1,0,unknown,0
3643,56,retired,married,secondary,yes,101,no,yes,unknown,19,jun,330,1,-1,0,unknown,0
3644,35,admin.,married,secondary,yes,0,yes,yes,cellular,18,nov,17,1,-1,0,unknown,0
3645,50,management,divorced,tertiary,no,60,no,no,cellular,19,aug,255,2,-1,0,unknown,0
3646,39,blue-collar,married,primary,no,1387,no,no,unknown,9,jun,52,3,-1,0,unknown,0
3647,56,blue-collar,married,primary,no,826,yes,no,cellular,21,jul,853,1,-1,0,unknown,0
3648,42,self-employed,single,tertiary,no,580,no,no,cellular,5,feb,393,1,-1,0,unknown,0
3649,32,blue-collar,married,primary,no,244,yes,no,unknown,16,may,128,2,-1,0,unknown,0
3650,60,management,married,tertiary,no,3401,no,no,cellular,2,feb,121,1,95,2,success,0
3651,54,management,married,tertiary,no,1623,no,no,cellular,31,jul,25,8,-1,0,unknown,0
3652,50,management,married,tertiary,no,2629,yes,no,telephone,15,jul,59,4,-1,0,unknown,0
3653,45,management,married,primary,no,0,no,yes,unknown,12,jun,54,1,-1,0,unknown,0
3654,48,management,divorced,tertiary,no,174,no,no,cellular,6,aug,290,2,-1,0,unknown,0
3655,47,entrepreneur,married,tertiary,no,362,yes,no,unknown,27,may,97,5,-1,0,unknown,0
3656,25,entrepreneur,married,tertiary,no,30,yes,no,cellular,24,jul,254,2,-1,0,unknown,0
3657,30,admin.,single,secondary,no,1309,no,no,cellular,28,jan,622,1,-1,0,unknown,1
3658,33,entrepreneur,married,tertiary,no,83,yes,no,cellular,21,nov,70,2,-1,0,unknown,0
3659,31,technician,single,secondary,no,23,no,no,cellular,28,aug,110,2,-1,0,unknown,0
3660,32,management,single,tertiary,no,1836,no,no,cellular,27,aug,96,9,-1,0,unknown,0
3661,40,services,married,secondary,no,0,yes,yes,cellular,2,feb,226,2,-1,0,unknown,0
3662,30,technician,single,secondary,no,-109,yes,no,cellular,15,may,73,2,297,2,other,0
3663,39,technician,married,secondary,no,505,no,no,cellular,27,may,86,4,-1,0,unknown,0
3664,56,housemaid,single,tertiary,no,1947,no,no,unknown,30,mar,110,1,-1,0,unknown,1
3665,33,management,divorced,secondary,no,1897,yes,yes,unknown,2,jun,197,1,-1,0,unknown,0
3666,28,technician,single,tertiary,no,0,yes,no,cellular,15,apr,217,2,-1,0,unknown,0
3667,32,blue-collar,married,secondary,no,169,yes,no,cellular,14,may,291,2,-1,0,unknown,0
3668,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,0
3669,35,blue-collar,married,tertiary,no,1016,yes,no,cellular,17,jul,294,2,-1,0,unknown,0
3670,60,retired,married,tertiary,no,0,no,no,cellular,25,aug,101,3,-1,0,unknown,0
3671,65,unemployed,married,secondary,no,3195,no,no,telephone,2,mar,904,1,-1,0,unknown,1
3672,37,management,married,tertiary,no,238,no,no,cellular,3,feb,185,1,92,1,success,1
3673,57,technician,married,secondary,no,402,yes,no,unknown,6,may,153,3,-1,0,unknown,0
3674,50,blue-collar,married,primary,no,5356,no,no,unknown,13,may,289,1,-1,0,unknown,0
3675,45,admin.,divorced,secondary,no,875,yes,yes,unknown,23,may,292,2,-1,0,unknown,0
3676,54,admin.,married,secondary,no,1633,no,no,cellular,3,jul,409,2,-1,0,unknown,1
3677,51,services,married,primary,no,294,no,no,unknown,16,jun,112,2,-1,0,unknown,0
3678,38,blue-collar,married,secondary,no,67,no,no,cellular,28,jan,74,1,239,2,failure,0
3679,31,self-employed,married,tertiary,no,229,no,no,cellular,29,jan,184,1,-1,0,unknown,0
3680,36,technician,single,secondary,no,301,yes,yes,cellular,29,jul,367,1,-1,0,unknown,0
3681,32,services,married,unknown,no,1016,no,no,cellular,30,jul,141,2,-1,0,unknown,0
3682,37,technician,married,secondary,no,77,yes,yes,cellular,21,nov,44,1,-1,0,unknown,0
3683,44,self-employed,married,secondary,no,6553,no,no,unknown,16,jun,195,2,-1,0,unknown,0
3684,34,technician,single,secondary,no,18777,yes,no,cellular,18,nov,535,1,-1,0,unknown,0
3685,31,technician,married,secondary,no,-302,no,no,cellular,13,aug,195,2,-1,0,unknown,0
3686,59,technician,married,secondary,no,4322,no,no,unknown,17,jun,174,1,-1,0,unknown,0
3687,23,services,single,secondary,no,279,yes,no,cellular,18,may,843,1,370,1,failure,1
3688,55,management,divorced,tertiary,no,552,no,no,unknown,7,may,241,2,-1,0,unknown,0
3689,32,management,married,tertiary,no,500,no,no,cellular,8,aug,151,4,-1,0,unknown,0
3690,32,management,divorced,tertiary,no,222,no,yes,cellular,15,jul,820,4,-1,0,unknown,1
3691,74,retired,married,tertiary,no,4912,no,no,telephone,21,oct,129,3,-1,0,unknown,0
3692,47,blue-collar,married,primary,no,2,yes,yes,cellular,20,nov,661,4,190,1,failure,0
3693,45,management,married,tertiary,no,0,no,no,cellular,20,aug,71,2,-1,0,unknown,0
3694,34,management,married,secondary,no,724,yes,no,cellular,25,may,305,1,-1,0,unknown,0
3695,59,retired,married,primary,no,0,yes,no,cellular,28,jul,20,4,-1,0,unknown,0
3696,24,blue-collar,single,primary,no,1033,yes,no,cellular,24,nov,283,1,-1,0,unknown,0
3697,26,blue-collar,single,secondary,no,-188,no,no,telephone,16,jul,198,1,-1,0,unknown,0
3698,53,management,married,tertiary,no,34230,yes,yes,cellular,7,may,279,1,358,9,other,0
3699,33,management,married,tertiary,no,685,no,no,unknown,17,nov,53,1,-1,0,unknown,0
3700,45,blue-collar,married,primary,no,323,yes,no,unknown,13,may,276,2,-1,0,unknown,0
3701,40,services,divorced,secondary,no,282,yes,no,cellular,13,may,240,1,300,1,failure,0
3702,47,blue-collar,married,secondary,no,4403,yes,yes,unknown,17,nov,81,1,-1,0,unknown,0
3703,30,management,married,tertiary,no,5204,yes,no,cellular,19,nov,117,1,-1,0,unknown,0
3704,40,blue-collar,divorced,secondary,no,635,yes,no,cellular,13,may,122,2,-1,0,unknown,0
3705,41,technician,divorced,secondary,no,4047,yes,no,cellular,18,feb,343,1,-1,0,unknown,1
3706,46,blue-collar,divorced,unknown,no,2391,yes,no,cellular,31,jul,148,2,-1,0,unknown,0
3707,33,unemployed,single,tertiary,no,4874,no,no,telephone,22,feb,363,2,-1,0,unknown,0
3708,33,management,single,tertiary,no,576,no,no,cellular,25,may,220,1,111,2,other,0
3709,51,blue-collar,married,secondary,no,8486,yes,yes,cellular,21,nov,80,10,-1,0,unknown,0
3710,36,services,married,secondary,no,8114,yes,no,unknown,6,jun,505,1,-1,0,unknown,0
3711,47,blue-collar,married,primary,no,1865,yes,no,unknown,8,may,380,3,-1,0,unknown,0
3712,54,management,divorced,tertiary,no,787,no,no,cellular,6,aug,90,2,-1,0,unknown,0
3713,23,student,single,secondary,no,922,no,no,cellular,28,may,538,2,184,9,failure,1
3714,32,technician,single,tertiary,no,705,yes,no,cellular,25,may,414,2,35,4,failure,1
3715,31,blue-collar,married,secondary,no,557,yes,yes,unknown,27,may,185,1,-1,0,unknown,0
3716,58,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,700,1,-1,0,unknown,1
3717,21,student,single,secondary,no,224,no,no,cellular,30,apr,871,1,-1,0,unknown,1
3718,47,management,married,tertiary,no,288,no,no,cellular,1,oct,101,1,-1,0,unknown,1
3719,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,0
3720,42,blue-collar,married,secondary,no,171,yes,no,unknown,14,may,55,1,-1,0,unknown,0
3721,52,management,married,unknown,no,414,yes,no,cellular,8,jul,424,1,-1,0,unknown,0
3722,22,technician,single,secondary,no,283,yes,no,cellular,22,mar,254,2,-1,0,unknown,1
3723,49,entrepreneur,married,secondary,no,348,no,no,cellular,11,aug,105,2,-1,0,unknown,0
3724,46,unemployed,single,tertiary,no,705,no,no,cellular,4,feb,398,1,-1,0,unknown,0
3725,45,management,married,tertiary,no,1788,no,no,cellular,10,dec,364,1,191,4,failure,0
3726,29,admin.,married,secondary,no,494,yes,no,unknown,26,may,341,2,-1,0,unknown,0
3727,32,management,married,tertiary,no,794,yes,yes,cellular,9,jul,1014,1,-1,0,unknown,1
3728,47,admin.,single,secondary,no,303,yes,yes,cellular,28,jul,152,4,-1,0,unknown,0
3729,37,entrepreneur,married,tertiary,no,2685,no,no,unknown,20,jun,187,2,-1,0,unknown,0
3730,51,blue-collar,married,primary,no,6343,yes,no,cellular,26,aug,28,20,-1,0,unknown,0
3731,30,technician,single,secondary,no,158,no,no,cellular,6,oct,144,1,-1,0,unknown,1
3732,47,housemaid,divorced,secondary,no,26,no,no,cellular,22,aug,48,4,-1,0,unknown,0
3733,44,blue-collar,married,secondary,no,1495,yes,no,cellular,1,oct,82,1,142,1,failure,0
3734,31,blue-collar,single,secondary,no,58,yes,no,unknown,21,may,542,1,-1,0,unknown,0
3735,52,management,married,tertiary,no,2428,yes,no,cellular,28,jul,61,3,-1,0,unknown,0
3736,42,blue-collar,married,primary,no,2103,yes,no,cellular,13,apr,384,2,-1,0,unknown,1
3737,40,blue-collar,married,secondary,no,952,no,yes,unknown,12,jun,140,1,-1,0,unknown,0
3738,36,unemployed,married,secondary,no,17458,no,no,cellular,23,sep,390,2,-1,0,unknown,0
3739,37,management,single,tertiary,no,156,no,no,cellular,5,feb,7,10,-1,0,unknown,0
3740,55,self-employed,single,secondary,no,2607,yes,no,unknown,14,may,38,1,-1,0,unknown,0
3741,39,entrepreneur,married,secondary,no,1171,no,yes,cellular,21,nov,205,2,-1,0,unknown,0
3742,32,unemployed,married,secondary,no,869,yes,no,cellular,29,jan,177,1,-1,0,unknown,0
3743,37,blue-collar,married,primary,no,240,yes,no,cellular,11,may,259,1,370,2,other,0
3744,38,technician,married,tertiary,no,0,no,no,cellular,22,aug,82,6,-1,0,unknown,0
3745,40,housemaid,married,primary,no,746,no,no,unknown,20,jun,246,3,-1,0,unknown,0
3746,39,management,married,tertiary,no,20932,no,no,cellular,21,nov,127,2,-1,0,unknown,0
3747,39,services,married,secondary,no,0,yes,no,telephone,10,jul,29,1,-1,0,unknown,0
3748,38,admin.,married,secondary,no,215,yes,yes,unknown,6,jun,173,2,-1,0,unknown,0
3749,45,management,single,tertiary,no,5694,yes,no,cellular,18,nov,145,2,193,2,failure,0
3750,42,technician,married,secondary,no,334,yes,no,cellular,20,apr,18,5,335,9,other,0
3751,38,blue-collar,single,primary,no,199,yes,no,unknown,27,may,268,4,-1,0,unknown,0
3752,53,management,married,secondary,no,478,yes,no,cellular,2,feb,66,1,264,2,failure,0
3753,36,management,divorced,tertiary,yes,-1,yes,yes,unknown,23,may,268,1,-1,0,unknown,0
3754,25,technician,single,secondary,no,31,no,no,cellular,2,aug,300,3,-1,0,unknown,0
3755,35,blue-collar,married,secondary,no,262,no,no,cellular,15,sep,331,1,75,6,failure,1
3756,40,management,divorced,unknown,no,4095,yes,no,cellular,20,apr,281,1,-1,0,unknown,0
3757,32,technician,married,secondary,no,3095,no,no,cellular,12,aug,204,10,-1,0,unknown,0
3758,48,housemaid,married,primary,no,627,yes,no,unknown,27,may,21,5,-1,0,unknown,0
3759,32,blue-collar,single,primary,no,1137,yes,yes,cellular,6,may,274,1,-1,0,unknown,0
3760,35,admin.,married,secondary,no,5270,no,no,unknown,16,jun,110,8,-1,0,unknown,0
3761,60,admin.,married,primary,no,686,yes,yes,cellular,16,jul,122,1,-1,0,unknown,0
3762,33,technician,single,secondary,no,635,no,no,cellular,22,aug,124,1,-1,0,unknown,0
3763,44,services,married,primary,no,3,yes,no,cellular,7,may,228,1,-1,0,unknown,0
3764,51,management,married,tertiary,no,656,yes,no,cellular,25,jul,268,2,-1,0,unknown,0
3765,35,blue-collar,married,secondary,no,1993,yes,no,cellular,8,apr,462,2,-1,0,unknown,0
3766,31,blue-collar,married,secondary,no,671,yes,no,unknown,18,jun,704,4,-1,0,unknown,1
3767,50,management,divorced,tertiary,no,201,yes,no,cellular,24,jul,248,1,-1,0,unknown,0
3768,32,blue-collar,single,unknown,no,258,yes,no,cellular,18,may,291,2,-1,0,unknown,0
3769,37,management,married,tertiary,no,1170,no,yes,unknown,17,jun,153,3,-1,0,unknown,0
3770,25,blue-collar,single,secondary,no,195,no,no,cellular,16,jul,1339,3,-1,0,unknown,0
3771,51,management,married,tertiary,no,0,yes,yes,cellular,19,aug,263,1,84,1,other,0
3772,49,blue-collar,married,secondary,no,5058,no,no,cellular,12,may,255,2,357,4,failure,0
3773,24,blue-collar,single,secondary,no,117,yes,yes,unknown,12,may,470,1,-1,0,unknown,0
3774,29,blue-collar,single,secondary,no,2891,yes,no,cellular,7,may,293,1,-1,0,unknown,0
3775,28,services,divorced,secondary,no,89,no,no,unknown,6,may,174,2,-1,0,unknown,0
3776,28,services,married,secondary,no,-494,yes,no,unknown,20,jun,232,2,-1,0,unknown,0
3777,73,retired,divorced,secondary,no,7111,yes,no,cellular,12,oct,146,1,-1,0,unknown,1
3778,59,admin.,married,secondary,no,1455,yes,no,cellular,28,jan,222,2,191,1,failure,0
3779,35,services,single,secondary,no,-267,yes,no,unknown,27,may,193,1,-1,0,unknown,0
3780,23,student,single,primary,no,1235,no,no,cellular,11,sep,122,2,91,3,failure,0
3781,36,management,married,tertiary,no,495,no,no,cellular,12,mar,213,3,182,6,success,1
3782,36,blue-collar,married,primary,no,711,yes,no,unknown,23,may,154,2,-1,0,unknown,0
3783,27,blue-collar,single,primary,no,0,yes,no,unknown,16,may,576,1,-1,0,unknown,0
3784,25,technician,single,secondary,no,266,no,yes,cellular,15,jun,74,1,-1,0,unknown,0
3785,47,services,married,secondary,no,459,no,no,cellular,19,aug,599,3,-1,0,unknown,0
3786,40,technician,married,secondary,no,192,yes,yes,cellular,15,may,16,8,351,5,failure,0
3787,24,blue-collar,single,secondary,no,1,yes,no,cellular,11,may,79,2,-1,0,unknown,0
3788,31,technician,single,secondary,no,1170,yes,no,unknown,2,jun,120,2,-1,0,unknown,0
3789,54,blue-collar,married,primary,no,69,no,no,cellular,17,nov,71,1,-1,0,unknown,0
3790,26,student,single,tertiary,no,2182,yes,no,cellular,12,may,42,1,292,1,other,0
3791,41,admin.,married,secondary,no,542,yes,no,telephone,11,may,64,2,347,1,other,0
3792,36,services,divorced,secondary,no,223,yes,yes,cellular,11,may,80,1,-1,0,unknown,0
3793,31,self-employed,married,tertiary,no,1194,yes,no,cellular,15,may,50,1,-1,0,unknown,0
3794,36,self-employed,single,secondary,no,74,yes,yes,cellular,12,may,198,2,-1,0,unknown,0
3795,46,unknown,married,unknown,no,677,no,no,cellular,3,feb,425,1,82,1,failure,0
3796,37,management,married,tertiary,no,347,yes,no,cellular,22,jul,282,1,-1,0,unknown,0
3797,28,student,single,secondary,no,689,no,no,cellular,2,feb,36,1,-1,0,unknown,0
3798,58,retired,married,primary,no,3,no,no,cellular,14,aug,158,2,-1,0,unknown,0
3799,40,entrepreneur,married,secondary,no,6403,no,no,cellular,22,sep,208,2,-1,0,unknown,1
3800,45,admin.,married,secondary,no,251,yes,no,cellular,19,aug,102,2,-1,0,unknown,0
3801,41,blue-collar,divorced,secondary,no,-333,yes,no,cellular,30,jan,118,3,270,2,failure,0
3802,26,blue-collar,single,secondary,no,592,yes,yes,unknown,27,may,174,1,-1,0,unknown,0
3803,45,blue-collar,married,unknown,no,248,yes,no,unknown,6,may,88,5,-1,0,unknown,0
3804,31,management,single,tertiary,no,924,no,no,cellular,5,jun,207,2,98,1,success,1
3805,32,blue-collar,married,secondary,no,25,yes,no,cellular,6,may,28,2,345,3,other,0
3806,48,admin.,married,secondary,no,257,yes,no,telephone,8,may,186,4,358,11,failure,0
3807,49,management,married,tertiary,no,5969,no,no,cellular,30,jul,258,2,-1,0,unknown,0
3808,50,management,divorced,tertiary,no,0,no,no,cellular,29,aug,128,2,-1,0,unknown,0
3809,37,services,single,secondary,no,608,no,no,cellular,14,may,380,3,-1,0,unknown,0
3810,47,services,married,secondary,no,1549,yes,no,unknown,14,may,95,6,-1,0,unknown,0
3811,29,management,single,tertiary,no,266,no,no,cellular,12,aug,176,1,185,1,failure,0
3812,59,retired,married,primary,no,2074,no,no,cellular,21,dec,467,1,186,2,success,1
3813,32,blue-collar,married,primary,no,233,yes,no,cellular,15,may,391,2,-1,0,unknown,0
3814,38,management,single,tertiary,no,2454,yes,no,cellular,14,aug,373,2,-1,0,unknown,0
3815,28,self-employed,single,secondary,no,241,yes,no,cellular,9,jul,275,1,-1,0,unknown,0
3816,32,blue-collar,single,secondary,no,160,yes,no,telephone,29,jan,48,1,265,1,failure,0
3817,55,admin.,married,secondary,no,865,yes,no,cellular,17,apr,85,1,151,1,failure,0
3818,30,blue-collar,married,primary,no,1480,yes,no,unknown,14,may,360,2,-1,0,unknown,0
3819,28,services,single,secondary,no,159,yes,no,telephone,12,may,345,2,-1,0,unknown,0
3820,33,management,married,tertiary,no,51,yes,no,cellular,21,aug,273,2,-1,0,unknown,0
3821,43,blue-collar,married,secondary,no,1617,yes,no,cellular,7,apr,239,1,-1,0,unknown,0
3822,45,blue-collar,divorced,secondary,no,77,yes,no,unknown,26,may,99,3,-1,0,unknown,0
3823,60,admin.,married,secondary,no,438,yes,no,telephone,28,jan,176,2,-1,0,unknown,0
3824,30,admin.,married,secondary,no,401,no,no,cellular,19,nov,50,1,-1,0,unknown,0
3825,30,management,married,secondary,no,11391,yes,no,cellular,20,nov,319,1,105,2,other,0
3826,35,unemployed,married,tertiary,no,259,no,yes,cellular,21,nov,229,2,-1,0,unknown,0
3827,57,retired,married,secondary,no,919,yes,yes,unknown,19,may,408,2,-1,0,unknown,0
3828,44,entrepreneur,married,primary,no,5039,no,no,cellular,8,may,317,2,-1,0,unknown,0
3829,28,technician,single,secondary,no,-9,yes,yes,unknown,9,may,175,5,-1,0,unknown,0
3830,76,retired,married,primary,no,3324,no,no,cellular,13,nov,122,1,92,3,success,1
3831,44,blue-collar,married,secondary,no,647,yes,no,cellular,6,apr,276,2,-1,0,unknown,0
3832,53,technician,divorced,tertiary,no,2228,no,no,cellular,17,nov,890,1,-1,0,unknown,1
3833,45,self-employed,married,tertiary,no,0,yes,no,cellular,17,nov,134,1,-1,0,unknown,0
3834,40,blue-collar,married,primary,no,540,yes,no,unknown,2,jun,21,1,-1,0,unknown,0
3835,50,entrepreneur,married,tertiary,no,52,no,no,cellular,31,jul,22,8,-1,0,unknown,0
3836,39,technician,married,secondary,no,-72,yes,no,unknown,26,may,207,2,-1,0,unknown,0
3837,27,blue-collar,single,secondary,no,4,yes,no,cellular,7,may,153,2,-1,0,unknown,0
3838,44,management,married,secondary,no,576,yes,no,unknown,8,may,128,3,-1,0,unknown,0
3839,33,blue-collar,married,secondary,no,681,yes,yes,cellular,21,jul,357,1,-1,0,unknown,0
3840,29,management,single,secondary,no,-105,yes,no,unknown,27,may,5,3,-1,0,unknown,0
3841,31,technician,married,secondary,no,6890,yes,no,unknown,12,may,34,1,-1,0,unknown,0
3842,60,management,married,tertiary,no,3387,no,no,cellular,14,aug,636,2,-1,0,unknown,0
3843,54,retired,single,primary,no,767,no,no,unknown,9,jun,42,2,-1,0,unknown,0
3844,31,technician,single,tertiary,no,424,no,no,cellular,21,aug,93,2,-1,0,unknown,0
3845,49,technician,married,primary,no,486,no,no,telephone,7,jul,229,5,-1,0,unknown,0
3846,40,housemaid,married,secondary,no,2064,no,no,cellular,12,aug,107,1,-1,0,unknown,0
3847,52,management,married,tertiary,no,-542,no,no,cellular,28,aug,80,2,-1,0,unknown,0
3848,33,housemaid,married,primary,no,212,yes,no,cellular,11,jul,260,2,-1,0,unknown,0
3849,27,housemaid,married,secondary,yes,65,yes,yes,cellular,17,jul,59,1,-1,0,unknown,0
3850,49,retired,married,primary,no,2665,yes,no,unknown,13,may,67,1,-1,0,unknown,0
3851,43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,-1,0,unknown,1
3852,45,services,married,secondary,no,-839,yes,no,unknown,28,may,68,1,-1,0,unknown,0
3853,35,admin.,married,secondary,no,0,yes,no,telephone,17,nov,84,1,-1,0,unknown,0
3854,26,blue-collar,single,primary,no,1538,no,yes,cellular,28,jul,97,3,-1,0,unknown,0
3855,53,services,divorced,secondary,no,0,no,no,cellular,12,mar,80,2,-1,0,unknown,1
3856,53,retired,married,secondary,no,136,no,no,unknown,16,jun,254,1,-1,0,unknown,0
3857,53,technician,married,tertiary,no,9001,no,no,cellular,5,apr,170,1,-1,0,unknown,1
3858,45,management,married,tertiary,no,242,no,no,cellular,30,apr,587,1,-1,0,unknown,1
3859,39,blue-collar,married,primary,no,640,yes,no,cellular,13,may,220,4,370,2,other,0
3860,51,blue-collar,married,primary,no,-11,no,no,telephone,16,jul,126,4,-1,0,unknown,0
3861,35,technician,single,secondary,no,1855,yes,no,unknown,7,may,138,1,-1,0,unknown,0
3862,53,services,married,secondary,no,1,no,no,cellular,22,aug,120,10,-1,0,unknown,0
3863,30,technician,married,tertiary,no,910,no,no,cellular,14,aug,228,2,-1,0,unknown,0
3864,34,blue-collar,married,secondary,no,763,yes,no,unknown,27,may,99,1,-1,0,unknown,0
3865,25,management,single,tertiary,no,1259,no,no,cellular,12,mar,85,1,-1,0,unknown,0
3866,54,management,married,tertiary,no,0,no,no,cellular,5,aug,214,3,-1,0,unknown,0
3867,26,admin.,married,tertiary,no,319,no,no,cellular,15,oct,88,1,-1,0,unknown,0
3868,52,blue-collar,married,secondary,no,7225,no,no,cellular,19,nov,205,2,113,2,failure,0
3869,37,blue-collar,divorced,secondary,yes,-689,no,no,unknown,18,jun,15,1,-1,0,unknown,0
3870,47,technician,married,tertiary,no,4568,no,no,unknown,9,jun,100,1,-1,0,unknown,0
3871,29,blue-collar,single,secondary,no,445,yes,no,unknown,21,may,139,2,-1,0,unknown,0
3872,53,technician,divorced,secondary,no,751,yes,no,unknown,16,may,343,4,-1,0,unknown,0
3873,38,blue-collar,married,unknown,no,976,yes,no,unknown,29,may,318,2,-1,0,unknown,0
3874,32,management,married,tertiary,no,3442,no,no,cellular,18,nov,475,1,-1,0,unknown,0
3875,46,entrepreneur,married,primary,no,0,no,no,cellular,2,feb,64,1,-1,0,unknown,0
3876,43,technician,divorced,secondary,no,1413,yes,no,telephone,28,jul,75,3,-1,0,unknown,0
3877,24,management,single,tertiary,no,0,no,no,cellular,6,oct,526,1,-1,0,unknown,0
3878,29,admin.,single,secondary,no,454,no,no,telephone,16,jul,127,11,-1,0,unknown,0
3879,58,admin.,married,secondary,no,1813,yes,no,telephone,17,jul,15,1,-1,0,unknown,0
3880,34,unemployed,married,tertiary,no,181,yes,no,cellular,2,feb,110,1,-1,0,unknown,0
3881,44,blue-collar,married,secondary,no,-54,yes,yes,unknown,26,may,437,1,-1,0,unknown,0
3882,31,blue-collar,married,primary,no,54,yes,no,cellular,18,may,239,6,-1,0,unknown,0
3883,58,retired,divorced,primary,no,720,no,no,telephone,22,may,250,1,94,4,success,0
3884,47,blue-collar,married,primary,no,124,no,no,cellular,7,aug,76,2,-1,0,unknown,0
3885,32,housemaid,married,primary,no,7,no,yes,unknown,27,jun,110,1,-1,0,unknown,0
3886,50,services,married,secondary,no,1463,yes,no,unknown,19,may,380,1,-1,0,unknown,0
3887,30,management,married,tertiary,no,4948,no,no,cellular,21,aug,376,2,-1,0,unknown,0
3888,37,services,single,secondary,no,54,yes,no,cellular,18,nov,328,2,131,1,failure,0
3889,45,services,single,primary,no,1893,yes,no,unknown,3,jun,1259,6,-1,0,unknown,1
3890,36,admin.,married,secondary,no,1954,yes,yes,unknown,30,may,199,3,-1,0,unknown,0
